image,mask,dataset,class,split
BUSI/Dataset_BUSI_with_GT/malignant/malignant (117).png,BUSI/Dataset_BUSI_with_GT/malignant/malignant (117)_mask.png,BUSI,malignant,train
BUSI/Dataset_BUSI_with_GT/malignant/malignant (142).png,BUSI/Dataset_BUSI_with_GT/malignant/malignant (142)_mask.png,BUSI,malignant,train
BUSI/Dataset_BUSI_with_GT/benign/benign (129).png,BUSI/Dataset_BUSI_with_GT/benign/benign (129)_mask.png,BUSI,benign,train
BUSI/Dataset_BUSI_with_GT/benign/benign (1).png,BUSI/Dataset_BUSI_with_GT/benign/benign (1)_mask.png,BUSI,benign,train
BUSI/Dataset_BUSI_with_GT/malignant/malignant (92).png,BUSI/Dataset_BUSI_with_GT/malignant/malignant (92)_mask.png,BUSI,malignant,train
BUSI/Dataset_BUSI_with_GT/benign/benign (324).png,BUSI/Dataset_BUSI_with_GT/benign/benign (324)_mask.png,BUSI,benign,train
BUSI/Dataset_BUSI_with_GT/benign/benign (76).png,BUSI/Dataset_BUSI_with_GT/benign/benign (76)_mask.png,BUSI,benign,train
BUSI/Dataset_BUSI_with_GT/benign/benign (61).png,BUSI/Dataset_BUSI_with_GT/benign/benign (61)_mask.png,BUSI,benign,train
BUSI/Dataset_BUSI_with_GT/malignant/malignant (153).png,BUSI/Dataset_BUSI_with_GT/malignant/malignant (153)_mask.png,BUSI,malignant,train
BUSI/Dataset_BUSI_with_GT/benign/benign (39).png,BUSI/Dataset_BUSI_with_GT/benign/benign (39)_mask.png,BUSI,benign,train
BUSI/Dataset_BUSI_with_GT/benign/benign (119).png,BUSI/Dataset_BUSI_with_GT/benign/benign (119)_mask.png,BUSI,benign,train
BUSI/Dataset_BUSI_with_GT/benign/benign (154).png,BUSI/Dataset_BUSI_with_GT/benign/benign (154)_mask.png,BUSI,benign,train
BUSI/Dataset_BUSI_with_GT/benign/benign (203).png,BUSI/Dataset_BUSI_with_GT/benign/benign (203)_mask.png,BUSI,benign,train
BUSI/Dataset_BUSI_with_GT/malignant/malignant (113).png,BUSI/Dataset_BUSI_with_GT/malignant/malignant (113)_mask.png,BUSI,malignant,train
BUSI/Dataset_BUSI_with_GT/benign/benign (304).png,BUSI/Dataset_BUSI_with_GT/benign/benign (304)_mask.png,BUSI,benign,train
BUSI/Dataset_BUSI_with_GT/benign/benign (18).png,BUSI/Dataset_BUSI_with_GT/benign/benign (18)_mask.png,BUSI,benign,train
BUSI/Dataset_BUSI_with_GT/benign/benign (263).png,BUSI/Dataset_BUSI_with_GT/benign/benign (263)_mask.png,BUSI,benign,train
BUSI/Dataset_BUSI_with_GT/benign/benign (347).png,BUSI/Dataset_BUSI_with_GT/benign/benign (347)_mask.png,BUSI,benign,train
BUSI/Dataset_BUSI_with_GT/benign/benign (355).png,BUSI/Dataset_BUSI_with_GT/benign/benign (355)_mask.png,BUSI,benign,train
BUSI/Dataset_BUSI_with_GT/benign/benign (115).png,BUSI/Dataset_BUSI_with_GT/benign/benign (115)_mask.png,BUSI,benign,train
BUSI/Dataset_BUSI_with_GT/benign/benign (374).png,BUSI/Dataset_BUSI_with_GT/benign/benign (374)_mask.png,BUSI,benign,train
BUSI/Dataset_BUSI_with_GT/benign/benign (50).png,BUSI/Dataset_BUSI_with_GT/benign/benign (50)_mask.png,BUSI,benign,train
BUSI/Dataset_BUSI_with_GT/benign/benign (229).png,BUSI/Dataset_BUSI_with_GT/benign/benign (229)_mask.png,BUSI,benign,train
BUSI/Dataset_BUSI_with_GT/benign/benign (431).png,BUSI/Dataset_BUSI_with_GT/benign/benign (431)_mask.png,BUSI,benign,train
BUSI/Dataset_BUSI_with_GT/benign/benign (396).png,BUSI/Dataset_BUSI_with_GT/benign/benign (396)_mask.png,BUSI,benign,train
BUSI/Dataset_BUSI_with_GT/malignant/malignant (40).png,BUSI/Dataset_BUSI_with_GT/malignant/malignant (40)_mask.png,BUSI,malignant,train
BUSI/Dataset_BUSI_with_GT/benign/benign (93).png,BUSI/Dataset_BUSI_with_GT/benign/benign (93)_mask.png,BUSI,benign,train
BUSI/Dataset_BUSI_with_GT/benign/benign (7).png,BUSI/Dataset_BUSI_with_GT/benign/benign (7)_mask.png,BUSI,benign,train
BUSI/Dataset_BUSI_with_GT/benign/benign (140).png,BUSI/Dataset_BUSI_with_GT/benign/benign (140)_mask.png,BUSI,benign,train
BUSI/Dataset_BUSI_with_GT/benign/benign (334).png,BUSI/Dataset_BUSI_with_GT/benign/benign (334)_mask.png,BUSI,benign,train
BUSI/Dataset_BUSI_with_GT/benign/benign (275).png,BUSI/Dataset_BUSI_with_GT/benign/benign (275)_mask.png,BUSI,benign,train
BUSI/Dataset_BUSI_with_GT/malignant/malignant (99).png,BUSI/Dataset_BUSI_with_GT/malignant/malignant (99)_mask.png,BUSI,malignant,train
BUSI/Dataset_BUSI_with_GT/malignant/malignant (19).png,BUSI/Dataset_BUSI_with_GT/malignant/malignant (19)_mask.png,BUSI,malignant,train
BUSI/Dataset_BUSI_with_GT/benign/benign (196).png,BUSI/Dataset_BUSI_with_GT/benign/benign (196)_mask.png,BUSI,benign,train
BUSI/Dataset_BUSI_with_GT/malignant/malignant (39).png,BUSI/Dataset_BUSI_with_GT/malignant/malignant (39)_mask.png,BUSI,malignant,train
BUSI/Dataset_BUSI_with_GT/malignant/malignant (155).png,BUSI/Dataset_BUSI_with_GT/malignant/malignant (155)_mask.png,BUSI,malignant,train
BUSI/Dataset_BUSI_with_GT/benign/benign (403).png,BUSI/Dataset_BUSI_with_GT/benign/benign (403)_mask.png,BUSI,benign,train
BUSI/Dataset_BUSI_with_GT/malignant/malignant (169).png,BUSI/Dataset_BUSI_with_GT/malignant/malignant (169)_mask.png,BUSI,malignant,train
BUSI/Dataset_BUSI_with_GT/malignant/malignant (84).png,BUSI/Dataset_BUSI_with_GT/malignant/malignant (84)_mask.png,BUSI,malignant,train
BUSI/Dataset_BUSI_with_GT/malignant/malignant (34).png,BUSI/Dataset_BUSI_with_GT/malignant/malignant (34)_mask.png,BUSI,malignant,train
BUSI/Dataset_BUSI_with_GT/malignant/malignant (4).png,BUSI/Dataset_BUSI_with_GT/malignant/malignant (4)_mask.png,BUSI,malignant,train
BUSI/Dataset_BUSI_with_GT/malignant/malignant (14).png,BUSI/Dataset_BUSI_with_GT/malignant/malignant (14)_mask.png,BUSI,malignant,train
BUSI/Dataset_BUSI_with_GT/benign/benign (80).png,BUSI/Dataset_BUSI_with_GT/benign/benign (80)_mask.png,BUSI,benign,train
BUSI/Dataset_BUSI_with_GT/benign/benign (233).png,BUSI/Dataset_BUSI_with_GT/benign/benign (233)_mask.png,BUSI,benign,train
BUSI/Dataset_BUSI_with_GT/benign/benign (210).png,BUSI/Dataset_BUSI_with_GT/benign/benign (210)_mask.png,BUSI,benign,train
BUSI/Dataset_BUSI_with_GT/malignant/malignant (167).png,BUSI/Dataset_BUSI_with_GT/malignant/malignant (167)_mask.png,BUSI,malignant,train
BUSI/Dataset_BUSI_with_GT/malignant/malignant (206).png,BUSI/Dataset_BUSI_with_GT/malignant/malignant (206)_mask.png,BUSI,malignant,train
BUSI/Dataset_BUSI_with_GT/benign/benign (266).png,BUSI/Dataset_BUSI_with_GT/benign/benign (266)_mask.png,BUSI,benign,train
BUSI/Dataset_BUSI_with_GT/malignant/malignant (87).png,BUSI/Dataset_BUSI_with_GT/malignant/malignant (87)_mask.png,BUSI,malignant,train
BUSI/Dataset_BUSI_with_GT/malignant/malignant (108).png,BUSI/Dataset_BUSI_with_GT/malignant/malignant (108)_mask.png,BUSI,malignant,train
BUSI/Dataset_BUSI_with_GT/malignant/malignant (90).png,BUSI/Dataset_BUSI_with_GT/malignant/malignant (90)_mask.png,BUSI,malignant,train
BUSI/Dataset_BUSI_with_GT/malignant/malignant (52).png,BUSI/Dataset_BUSI_with_GT/malignant/malignant (52)_mask.png,BUSI,malignant,train
BUSI/Dataset_BUSI_with_GT/benign/benign (227).png,BUSI/Dataset_BUSI_with_GT/benign/benign (227)_mask.png,BUSI,benign,train
BUSI/Dataset_BUSI_with_GT/benign/benign (226).png,BUSI/Dataset_BUSI_with_GT/benign/benign (226)_mask.png,BUSI,benign,train
BUSI/Dataset_BUSI_with_GT/malignant/malignant (17).png,BUSI/Dataset_BUSI_with_GT/malignant/malignant (17)_mask.png,BUSI,malignant,train
BUSI/Dataset_BUSI_with_GT/benign/benign (116).png,BUSI/Dataset_BUSI_with_GT/benign/benign (116)_mask.png,BUSI,benign,train
BUSI/Dataset_BUSI_with_GT/benign/benign (254).png,BUSI/Dataset_BUSI_with_GT/benign/benign (254)_mask.png,BUSI,benign,train
BUSI/Dataset_BUSI_with_GT/malignant/malignant (177).png,BUSI/Dataset_BUSI_with_GT/malignant/malignant (177)_mask.png,BUSI,malignant,train
BUSI/Dataset_BUSI_with_GT/benign/benign (11).png,BUSI/Dataset_BUSI_with_GT/benign/benign (11)_mask.png,BUSI,benign,train
BUSI/Dataset_BUSI_with_GT/benign/benign (121).png,BUSI/Dataset_BUSI_with_GT/benign/benign (121)_mask.png,BUSI,benign,train
BUSI/Dataset_BUSI_with_GT/malignant/malignant (11).png,BUSI/Dataset_BUSI_with_GT/malignant/malignant (11)_mask.png,BUSI,malignant,train
BUSI/Dataset_BUSI_with_GT/benign/benign (251).png,BUSI/Dataset_BUSI_with_GT/benign/benign (251)_mask.png,BUSI,benign,train
BUSI/Dataset_BUSI_with_GT/benign/benign (79).png,BUSI/Dataset_BUSI_with_GT/benign/benign (79)_mask.png,BUSI,benign,train
BUSI/Dataset_BUSI_with_GT/benign/benign (418).png,BUSI/Dataset_BUSI_with_GT/benign/benign (418)_mask.png,BUSI,benign,train
BUSI/Dataset_BUSI_with_GT/benign/benign (32).png,BUSI/Dataset_BUSI_with_GT/benign/benign (32)_mask.png,BUSI,benign,train
BUSI/Dataset_BUSI_with_GT/malignant/malignant (200).png,BUSI/Dataset_BUSI_with_GT/malignant/malignant (200)_mask.png,BUSI,malignant,train
BUSI/Dataset_BUSI_with_GT/benign/benign (344).png,BUSI/Dataset_BUSI_with_GT/benign/benign (344)_mask.png,BUSI,benign,train
BUSI/Dataset_BUSI_with_GT/benign/benign (238).png,BUSI/Dataset_BUSI_with_GT/benign/benign (238)_mask.png,BUSI,benign,train
BUSI/Dataset_BUSI_with_GT/benign/benign (212).png,BUSI/Dataset_BUSI_with_GT/benign/benign (212)_mask.png,BUSI,benign,train
BUSI/Dataset_BUSI_with_GT/benign/benign (74).png,BUSI/Dataset_BUSI_with_GT/benign/benign (74)_mask.png,BUSI,benign,train
BUSI/Dataset_BUSI_with_GT/benign/benign (358).png,BUSI/Dataset_BUSI_with_GT/benign/benign (358)_mask.png,BUSI,benign,train
BUSI/Dataset_BUSI_with_GT/benign/benign (200).png,BUSI/Dataset_BUSI_with_GT/benign/benign (200)_mask.png,BUSI,benign,train
BUSI/Dataset_BUSI_with_GT/malignant/malignant (109).png,BUSI/Dataset_BUSI_with_GT/malignant/malignant (109)_mask.png,BUSI,malignant,train
BUSI/Dataset_BUSI_with_GT/benign/benign (255).png,BUSI/Dataset_BUSI_with_GT/benign/benign (255)_mask.png,BUSI,benign,train
BUSI/Dataset_BUSI_with_GT/benign/benign (150).png,BUSI/Dataset_BUSI_with_GT/benign/benign (150)_mask.png,BUSI,benign,train
BUSI/Dataset_BUSI_with_GT/benign/benign (64).png,BUSI/Dataset_BUSI_with_GT/benign/benign (64)_mask.png,BUSI,benign,train
BUSI/Dataset_BUSI_with_GT/benign/benign (3).png,BUSI/Dataset_BUSI_with_GT/benign/benign (3)_mask.png,BUSI,benign,train
BUSI/Dataset_BUSI_with_GT/benign/benign (351).png,BUSI/Dataset_BUSI_with_GT/benign/benign (351)_mask.png,BUSI,benign,train
BUSI/Dataset_BUSI_with_GT/benign/benign (114).png,BUSI/Dataset_BUSI_with_GT/benign/benign (114)_mask.png,BUSI,benign,train
BUSI/Dataset_BUSI_with_GT/benign/benign (42).png,BUSI/Dataset_BUSI_with_GT/benign/benign (42)_mask.png,BUSI,benign,train
BUSI/Dataset_BUSI_with_GT/benign/benign (329).png,BUSI/Dataset_BUSI_with_GT/benign/benign (329)_mask.png,BUSI,benign,train
BUSI/Dataset_BUSI_with_GT/benign/benign (426).png,BUSI/Dataset_BUSI_with_GT/benign/benign (426)_mask.png,BUSI,benign,train
BUSI/Dataset_BUSI_with_GT/malignant/malignant (74).png,BUSI/Dataset_BUSI_with_GT/malignant/malignant (74)_mask.png,BUSI,malignant,train
BUSI/Dataset_BUSI_with_GT/benign/benign (270).png,BUSI/Dataset_BUSI_with_GT/benign/benign (270)_mask.png,BUSI,benign,train
BUSI/Dataset_BUSI_with_GT/benign/benign (49).png,BUSI/Dataset_BUSI_with_GT/benign/benign (49)_mask.png,BUSI,benign,train
BUSI/Dataset_BUSI_with_GT/malignant/malignant (27).png,BUSI/Dataset_BUSI_with_GT/malignant/malignant (27)_mask.png,BUSI,malignant,train
BUSI/Dataset_BUSI_with_GT/benign/benign (393).png,BUSI/Dataset_BUSI_with_GT/benign/benign (393)_mask.png,BUSI,benign,train
BUSI/Dataset_BUSI_with_GT/benign/benign (184).png,BUSI/Dataset_BUSI_with_GT/benign/benign (184)_mask.png,BUSI,benign,train
BUSI/Dataset_BUSI_with_GT/benign/benign (261).png,BUSI/Dataset_BUSI_with_GT/benign/benign (261)_mask.png,BUSI,benign,train
BUSI/Dataset_BUSI_with_GT/benign/benign (370).png,BUSI/Dataset_BUSI_with_GT/benign/benign (370)_mask.png,BUSI,benign,train
BUSI/Dataset_BUSI_with_GT/malignant/malignant (101).png,BUSI/Dataset_BUSI_with_GT/malignant/malignant (101)_mask.png,BUSI,malignant,train
BUSI/Dataset_BUSI_with_GT/malignant/malignant (98).png,BUSI/Dataset_BUSI_with_GT/malignant/malignant (98)_mask.png,BUSI,malignant,train
BUSI/Dataset_BUSI_with_GT/malignant/malignant (203).png,BUSI/Dataset_BUSI_with_GT/malignant/malignant (203)_mask.png,BUSI,malignant,train
BUSI/Dataset_BUSI_with_GT/malignant/malignant (144).png,BUSI/Dataset_BUSI_with_GT/malignant/malignant (144)_mask.png,BUSI,malignant,train
BUSI/Dataset_BUSI_with_GT/benign/benign (103).png,BUSI/Dataset_BUSI_with_GT/benign/benign (103)_mask.png,BUSI,benign,train
BUSI/Dataset_BUSI_with_GT/benign/benign (14).png,BUSI/Dataset_BUSI_with_GT/benign/benign (14)_mask.png,BUSI,benign,train
BUSI/Dataset_BUSI_with_GT/malignant/malignant (202).png,BUSI/Dataset_BUSI_with_GT/malignant/malignant (202)_mask.png,BUSI,malignant,train
BUSI/Dataset_BUSI_with_GT/malignant/malignant (123).png,BUSI/Dataset_BUSI_with_GT/malignant/malignant (123)_mask.png,BUSI,malignant,train
BUSI/Dataset_BUSI_with_GT/malignant/malignant (50).png,BUSI/Dataset_BUSI_with_GT/malignant/malignant (50)_mask.png,BUSI,malignant,train
BUSI/Dataset_BUSI_with_GT/benign/benign (113).png,BUSI/Dataset_BUSI_with_GT/benign/benign (113)_mask.png,BUSI,benign,train
BUSI/Dataset_BUSI_with_GT/benign/benign (142).png,BUSI/Dataset_BUSI_with_GT/benign/benign (142)_mask.png,BUSI,benign,train
BUSI/Dataset_BUSI_with_GT/malignant/malignant (8).png,BUSI/Dataset_BUSI_with_GT/malignant/malignant (8)_mask.png,BUSI,malignant,train
BUSI/Dataset_BUSI_with_GT/malignant/malignant (48).png,BUSI/Dataset_BUSI_with_GT/malignant/malignant (48)_mask.png,BUSI,malignant,train
BUSI/Dataset_BUSI_with_GT/benign/benign (101).png,BUSI/Dataset_BUSI_with_GT/benign/benign (101)_mask.png,BUSI,benign,train
BUSI/Dataset_BUSI_with_GT/malignant/malignant (42).png,BUSI/Dataset_BUSI_with_GT/malignant/malignant (42)_mask.png,BUSI,malignant,train
BUSI/Dataset_BUSI_with_GT/benign/benign (77).png,BUSI/Dataset_BUSI_with_GT/benign/benign (77)_mask.png,BUSI,benign,train
BUSI/Dataset_BUSI_with_GT/benign/benign (384).png,BUSI/Dataset_BUSI_with_GT/benign/benign (384)_mask.png,BUSI,benign,train
BUSI/Dataset_BUSI_with_GT/benign/benign (354).png,BUSI/Dataset_BUSI_with_GT/benign/benign (354)_mask.png,BUSI,benign,train
BUSI/Dataset_BUSI_with_GT/benign/benign (95).png,BUSI/Dataset_BUSI_with_GT/benign/benign (95)_mask.png,BUSI,benign,train
BUSI/Dataset_BUSI_with_GT/benign/benign (356).png,BUSI/Dataset_BUSI_with_GT/benign/benign (356)_mask.png,BUSI,benign,train
BUSI/Dataset_BUSI_with_GT/benign/benign (423).png,BUSI/Dataset_BUSI_with_GT/benign/benign (423)_mask.png,BUSI,benign,train
BUSI/Dataset_BUSI_with_GT/benign/benign (301).png,BUSI/Dataset_BUSI_with_GT/benign/benign (301)_mask.png,BUSI,benign,train
BUSI/Dataset_BUSI_with_GT/benign/benign (122).png,BUSI/Dataset_BUSI_with_GT/benign/benign (122)_mask.png,BUSI,benign,train
BUSI/Dataset_BUSI_with_GT/malignant/malignant (49).png,BUSI/Dataset_BUSI_with_GT/malignant/malignant (49)_mask.png,BUSI,malignant,train
BUSI/Dataset_BUSI_with_GT/benign/benign (336).png,BUSI/Dataset_BUSI_with_GT/benign/benign (336)_mask.png,BUSI,benign,train
BUSI/Dataset_BUSI_with_GT/benign/benign (144).png,BUSI/Dataset_BUSI_with_GT/benign/benign (144)_mask.png,BUSI,benign,train
BUSI/Dataset_BUSI_with_GT/benign/benign (305).png,BUSI/Dataset_BUSI_with_GT/benign/benign (305)_mask.png,BUSI,benign,train
BUSI/Dataset_BUSI_with_GT/benign/benign (132).png,BUSI/Dataset_BUSI_with_GT/benign/benign (132)_mask.png,BUSI,benign,train
BUSI/Dataset_BUSI_with_GT/benign/benign (240).png,BUSI/Dataset_BUSI_with_GT/benign/benign (240)_mask.png,BUSI,benign,train
BUSI/Dataset_BUSI_with_GT/benign/benign (312).png,BUSI/Dataset_BUSI_with_GT/benign/benign (312)_mask.png,BUSI,benign,train
BUSI/Dataset_BUSI_with_GT/malignant/malignant (75).png,BUSI/Dataset_BUSI_with_GT/malignant/malignant (75)_mask.png,BUSI,malignant,train
BUSI/Dataset_BUSI_with_GT/benign/benign (257).png,BUSI/Dataset_BUSI_with_GT/benign/benign (257)_mask.png,BUSI,benign,train
BUSI/Dataset_BUSI_with_GT/malignant/malignant (195).png,BUSI/Dataset_BUSI_with_GT/malignant/malignant (195)_mask.png,BUSI,malignant,train
BUSI/Dataset_BUSI_with_GT/malignant/malignant (110).png,BUSI/Dataset_BUSI_with_GT/malignant/malignant (110)_mask.png,BUSI,malignant,train
BUSI/Dataset_BUSI_with_GT/benign/benign (274).png,BUSI/Dataset_BUSI_with_GT/benign/benign (274)_mask.png,BUSI,benign,train
BUSI/Dataset_BUSI_with_GT/malignant/malignant (197).png,BUSI/Dataset_BUSI_with_GT/malignant/malignant (197)_mask.png,BUSI,malignant,train
BUSI/Dataset_BUSI_with_GT/benign/benign (55).png,BUSI/Dataset_BUSI_with_GT/benign/benign (55)_mask.png,BUSI,benign,train
BUSI/Dataset_BUSI_with_GT/malignant/malignant (79).png,BUSI/Dataset_BUSI_with_GT/malignant/malignant (79)_mask.png,BUSI,malignant,train
BUSI/Dataset_BUSI_with_GT/malignant/malignant (201).png,BUSI/Dataset_BUSI_with_GT/malignant/malignant (201)_mask.png,BUSI,malignant,train
BUSI/Dataset_BUSI_with_GT/benign/benign (16).png,BUSI/Dataset_BUSI_with_GT/benign/benign (16)_mask.png,BUSI,benign,train
BUSI/Dataset_BUSI_with_GT/benign/benign (5).png,BUSI/Dataset_BUSI_with_GT/benign/benign (5)_mask.png,BUSI,benign,train
BUSI/Dataset_BUSI_with_GT/benign/benign (250).png,BUSI/Dataset_BUSI_with_GT/benign/benign (250)_mask.png,BUSI,benign,train
BUSI/Dataset_BUSI_with_GT/malignant/malignant (44).png,BUSI/Dataset_BUSI_with_GT/malignant/malignant (44)_mask.png,BUSI,malignant,train
BUSI/Dataset_BUSI_with_GT/benign/benign (245).png,BUSI/Dataset_BUSI_with_GT/benign/benign (245)_mask.png,BUSI,benign,train
BUSI/Dataset_BUSI_with_GT/benign/benign (378).png,BUSI/Dataset_BUSI_with_GT/benign/benign (378)_mask.png,BUSI,benign,train
BUSI/Dataset_BUSI_with_GT/benign/benign (273).png,BUSI/Dataset_BUSI_with_GT/benign/benign (273)_mask.png,BUSI,benign,train
BUSI/Dataset_BUSI_with_GT/malignant/malignant (81).png,BUSI/Dataset_BUSI_with_GT/malignant/malignant (81)_mask.png,BUSI,malignant,train
BUSI/Dataset_BUSI_with_GT/benign/benign (428).png,BUSI/Dataset_BUSI_with_GT/benign/benign (428)_mask.png,BUSI,benign,train
BUSI/Dataset_BUSI_with_GT/malignant/malignant (5).png,BUSI/Dataset_BUSI_with_GT/malignant/malignant (5)_mask.png,BUSI,malignant,train
BUSI/Dataset_BUSI_with_GT/benign/benign (236).png,BUSI/Dataset_BUSI_with_GT/benign/benign (236)_mask.png,BUSI,benign,train
BUSI/Dataset_BUSI_with_GT/benign/benign (57).png,BUSI/Dataset_BUSI_with_GT/benign/benign (57)_mask.png,BUSI,benign,train
BUSI/Dataset_BUSI_with_GT/benign/benign (86).png,BUSI/Dataset_BUSI_with_GT/benign/benign (86)_mask.png,BUSI,benign,train
BUSI/Dataset_BUSI_with_GT/benign/benign (302).png,BUSI/Dataset_BUSI_with_GT/benign/benign (302)_mask.png,BUSI,benign,train
BUSI/Dataset_BUSI_with_GT/benign/benign (62).png,BUSI/Dataset_BUSI_with_GT/benign/benign (62)_mask.png,BUSI,benign,train
BUSI/Dataset_BUSI_with_GT/malignant/malignant (172).png,BUSI/Dataset_BUSI_with_GT/malignant/malignant (172)_mask.png,BUSI,malignant,train
BUSI/Dataset_BUSI_with_GT/benign/benign (192).png,BUSI/Dataset_BUSI_with_GT/benign/benign (192)_mask.png,BUSI,benign,train
